Longitude,Latitude,Location
12.457116825687566,49.3777336980791,A
11.07003098132933,48.16743188584843,B
10.787466298303565,49.75316668297653,C
12.69553421600721,47.876685054426105,D
11.432711524203313,50.229945184251626,E
10.004673916651708,50.286004219318386,F
12.29924642037868,48.6382270483559,G
11.307033625757555,49.33324530363358,H
12.886281666666028,48.80318072989139,I
10.512090900709286,48.68636040608768,J
10.321613453174328,47.87431679192061,K
11.363047962007027,48.596612220578784,L
11.767327119378495,47.73286773340549,M
10.293856123950079,49.19698085035631,N
12.203666187709377,49.95140342095543,O
9.274715930326334,49.7304410678506,P
13.265648497676478,48.44814849981294,Q
10.602613049493728,49.978327452117966,R
10.680726102652608,47.70415452949567,S
11.84041403348858,48.25056867323976,T
10.273920476342104,49.81583508998328,U
12.136790269018423,48.85162910044787,V
11.634338029477084,49.75134001647157,W
10.64463382349844,49.216299859751665,X
11.761592961948999,48.93391687935001,Y
10.267524379460998,48.36733575004806,Z
12.622248223753026,48.14404499027075,AA
11.097917489937265,50.2273230589794,AB
10.278903494342783,47.50408330374302,AC
13.421343559295847,48.81852716572336,AD
11.752660515862162,47.93806688570751,AE
12.807211410604712,49.009276808730576,AF
11.144071085123315,47.681201449773944,AG
12.05434913189552,49.36535724052034,AH
11.356547994375454,48.93474311520636,AI
10.648148676159964,48.2994635341728,AJ
10.789824109641952,48.76835973942518,AK
12.406041562617682,47.94517964511695,AL
10.552797211215996,49.61390400424837,AM
9.226064504245066,50.04858226418171,AN
10.35160491764521,50.32854513708271,AO
12.124342655979227,47.79544261420057,AP
11.167351934434542,47.93580009378346,AQ
11.9392528471048,48.707373804036955,AR
9.782280883473177,50.137861615618775,AS
12.78439538546936,49.24878550130461,AT
11.076183554177135,49.86265668288096,AU
12.176090312683286,49.54029171920224,AV
12.910690045573826,47.71593288668845,AW
10.950477458705835,48.985869094300625,AX
12.236872719625191,48.40793563708523,AY
11.189356390817254,49.57322866994221,AZ
11.44813336031177,48.33507671132386,BA
11.326985991248574,50.07642393271972,BB
11.853712030758775,49.16561824620057,BC
10.319138290992665,48.13542982429002,BD
11.4478456787523,49.11901623657691,BE
13.17875226942122,48.987897524439,BF
12.357862991655317,49.709618905322706,BG
12.008418730900264,50.17843942194387,BH
11.105736741842394,48.418759922026204,BI
11.411547191293048,48.00841636917096,BJ
12.947882859673326,48.35859575270109,BK
9.693173832382074,49.89195101070899,BL
11.993384838905728,49.7592153967361,BM
10.586077085590663,48.937655906507786,BN
10.861210242079672,50.142625075667155,BO
11.649465407644694,50.077496306187356,BP
12.586423830927918,48.37662620337118,BQ
11.172420565181248,47.5031683851709,BR
11.36050542835912,50.406828040576976,BS
11.977306487262144,48.03869225318455,BT
10.686400896065672,48.02809441834018,BU
10.081338778325835,49.63331101780455,BV
11.657855789990153,48.53284276128632,BW
11.622108004856724,48.74956775606968,BX
10.095204105951947,49.97575158482972,BY
10.314342665524373,49.415110114690776,BZ
11.954079783468398,48.43851715598407,CA
12.471547429048451,48.7929551970161,CB
11.522100195131118,49.482260210355214,CC
9.918680033319166,47.61749060815685,CD
12.536547809293042,49.12464000266889,CE
10.432050614103217,47.66480995133598,CF
10.826572911874367,49.415626351227345,CG
13.600632816874898,48.63919445449202,CH
10.486781141742402,48.503836862023405,CI
11.039670818259143,49.20734061747506,CJ
12.691457902723911,48.611131188743926,CK
12.240569807442542,48.186742530579686,CL
11.831676935527856,49.56900596169595,CM
13.173579017309423,48.6787647420734,CN
11.855838109841699,49.94715434536959,CO
11.43058968906921,47.787017050351196,CP
12.20862008765356,49.184246680701015,CQ
9.179935284160669,49.891014436266985,CR
10.821597982541894,48.5496435157794,CS
11.719288014627487,50.296563088730345,CT
10.92484841777277,47.79336104316939,CU
11.087283430738156,48.67793706689909,CV
