Longitude,Latitude,Location
11.595279419418658,48.963351629737815,A
11.201384260604833,48.073572148152465,B
10.77486167258746,50.09413755316515,C
13.113105608328047,48.42851463679729,D
9.376216024327233,49.89639922849456,E
12.187076622176589,49.30470703005377,F
10.456368054460075,48.46910611333778,G
11.912888356343556,50.0793847157584,H
12.022993302559682,48.31128051737323,I
10.863319556712101,49.71234849858663,J
13.350707589899375,48.79470727910502,K
11.107992824619123,47.67952365879874,L
12.670618193153647,47.84721150118794,M
10.351699523534199,47.666947613224025,N
11.686605444268857,49.62711633580038,O
10.030111597399753,50.252340062420146,P
10.742648905548826,48.92796062685133,Q
11.023858993331991,48.57950267480639,R
12.69411731200936,48.69356943121753,S
11.396463172161834,50.22265558487776,T
11.864730084853388,47.84794333549336,U
11.551822556753288,48.51616578226692,V
10.44508375711625,49.32217277636897,W
10.1350340358799,49.81125341967313,X
10.521058207772896,48.10363987383523,Y
12.509266846017434,48.21077669020171,Z
12.220567629528976,49.7432204886739,AA
12.099100679828798,48.76600917336551,AB
12.742475486576245,49.1362356817195,AC
11.190286352713061,49.30562493499518,AD
