Longitude,Latitude,Location
11.460385787171946,50.15732030516425,A
11.442121064229179,48.53566536253371,B
9.483152048918434,49.91391073121372,C
13.158396713182514,48.71138738939136,D
10.38887834292201,47.84193102191441,E
11.178650571778931,49.13244287749725,F
12.686460754608515,47.99975176680192,G
11.970583232709192,49.74080508554223,H
10.58434290664753,48.53520756575074,I
10.569566471604162,49.52340278984632,J
12.297885092890644,49.17363888940947,K
10.315613573358894,50.13601879801086,L
12.275590529440791,48.51930940659486,M
11.113772390015095,47.79632411962195,N
11.875975626062703,47.88939792854935,O
